ID,WORD,FOUND
1,the,12
2,a,10
3,and,9
4,in,6
5,new,6
6,is,5
7,orleans,5
8,i,5
9,house,4
10,rising,4
11,sun,4
12,of,4
13,im,4
14,one,4
15,my,4
16,to,4
17,there,3
18,they,3
19,call,3
20,its,3
21,been,3
22,ruin,3
23,many,3
24,poor,3
25,boy,3
26,god,3
27,know,3
28,mother,3
29,was,3
30,only,3
31,hes,3
32,your,3
33,well,3
34,foot,3
35,on,3
36,tailor,2
37,she,2
38,sewed,2
39,blue,2
40,jeans,2
41,father,2
42,gamblin,2
43,man,2
44,down,2
45,now,2
46,thing,2
47,gambler,2
48,needs,2
49,suitcase,2
50,trunk,2
51,time,2
52,satisfied,2
53,when,2
54,all,2
55,drunk,2
56,organ,2
57,solo,2
58,oh,2
59,tell,2
60,children,2
61,not,2
62,do,2
63,what,2
64,have,2
65,done,2
66,spend,2
67,lives,2
68,sin,2
69,misery,2
70,got,2
71,platform,2
72,other,2
73,train,2
74,goin,2
75,back,2
76,wear,2
77,that,2
78,ball,2
79,chain,2
